,codes,lang
0,0x436,Afrikaans - South Africa
1,0x041c,Albanian - Albania
2,0x045e,Amharic - Ethiopia
3, 0x401,Arabic - Saudi Arabia
4,0x1401,Arabic - Algeria
5,0x3c01,Arabic - Bahrain
6,0x0c01,Arabic - Egypt
7, 0x801,Arabic - Iraq
8, 0x2c01,Arabic - Jordan
9, 0x3401,Arabic - Kuwait
10,0x3001,Arabic - Lebanon
11,0x1001,Arabic - Libya
12,0x1801,Arabic - Morocco
13, 0x2001,Arabic - Oman
14,0x4001,Arabic - Qatar
15,0x2801,Arabic - Syria
16,0x1c01,Arabic - Tunisia
17, 0x3801,Arabic - U.A.E.
18,0x2401,Arabic - Yemen
19,0x042b,Armenian - Armenia
20,0x044d,Assamese
21,0x082c,Azeri (Cyrillic)
22, 0x042c,Azeri (Latin)
23,0x042d,Basque
24,0x423,Belarusian
25, 0x445,Bengali (India)
26,0x845,Bengali (Bangladesh)
27,0x141A,Bosnian (Bosnia/Herzegovina)
28, 0x402,Bulgarian
29, 0x455,Burmese
30, 0x403,Catalan
31,0x045c,Cherokee - United States
32,0x804,Chinese - People's Republic of China
33, 0x1004,Chinese - Singapore
34,0x404,Chinese - Taiwan
35, 0x0c04,Chinese - Hong Kong SAR
36, 0x1404,Chinese - Macao SAR
37,0x041a,Croatian
38, 0x101a,Croatian (Bosnia/Herzegovina)
39, 0x405,Czech
40,0x406,Danish
41,0x465,Divehi
42, 0x413,Dutch - Netherlands
43, 0x813,Dutch - Belgium
44, 0x466,Edo
45, 0x409,English - United States
46,0x809,English - United Kingdom
47, 0x0c09,English - Australia
48,0x2809,English - Belize
49,0x1009,English - Canada
50, 0x2409,English - Caribbean
51, 0x3c09,English - Hong Kong SAR
52, 0x4009,English - India
53, 0x3809,English - Indonesia
54, 0x1809,English - Ireland
55, 0x2009,English - Jamaica
56,0x4409,English - Malaysia
57, 0x1409,English - New Zealand
58, 0x3409,English - Philippines
59, 0x4809,English - Singapore
60,0x1c09,English - South Africa
61,0x2c09,English - Trinidad
62,0x3009,English - Zimbabwe
